match_id,date,player_1,player_2,player_1_sets_won,player_2_sets_won,winner,total_sets,set_1_player_1,set_1_player_2,set_2_player_1,set_2_player_2,set_3_player_1,set_3_player_2,set_4_player_1,set_4_player_2,set_5_player_1,set_5_player_2,player_1_clean,player_2_clean,player_1_elo,player_2_elo,elo_diff,p1_win_rate_last5,p2_win_rate_last5,p1_head_to_head_wins,p2_head_to_head_wins,p1_head_to_head_win_ratio,p1_streak,p2_streak,p1_form_volatility,p2_form_volatility,player_1_wins,elo_difference_category
25,2025-12-19,Tomasz Wrzalik,Jakub Nowak,0,3,Jakub Nowak,3,9.0,11.0,4.0,11.0,7.0,11.0,,,,,Tomasz Wrzalik,Jakub Nowak,560.0,528.0,32.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0/50
26,2025-12-19,Krzysztof Marcinowski,Krystian Kolodziej,1,3,Krystian Kolodziej,4,7.0,11.0,11.0,4.0,8.0,11.0,7.0,11.0,,,Krzysztof Marcinowski,Krystian Kolodziej,860.0,1125.0,-265.0,0.0,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0,<-200
27,2025-12-19,Bartlomiej Mleczko,Krzysztof Kotyl,3,1,Bartlomiej Mleczko,4,11.0,8.0,11.0,9.0,10.0,12.0,11.0,7.0,,,Bartlomiej Mleczko,Krzysztof Kotyl,808.0,738.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,1,50/100
28,2025-12-19,Dariusz Szlubowski,Michal Wojewodka,0,3,Michal Wojewodka,3,3.0,11.0,6.0,11.0,3.0,11.0,,,,,Dariusz Szlubowski,Michal Wojewodka,814.0,695.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0,100/200
29,2025-12-19,Dariusz Szlubowski,Mikolaj Lukaszewski,0,3,Mikolaj Lukaszewski,3,4.0,11.0,7.0,11.0,9.0,11.0,,,,,Dariusz Szlubowski,Mikolaj Lukaszewski,814.0,716.0,98.0,0.0,0.5,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0,50/100
31,2025-12-19,Bartlomiej Mleczko,Wojciech Gluszek,3,1,Bartlomiej Mleczko,4,8.0,11.0,14.0,12.0,11.0,5.0,14.0,12.0,,,Bartlomiej Mleczko,Wojciech Gluszek,808.0,745.0,63.0,1.0,0.0,0.0,0.0,0.0,1.0,-2.0,0.0,0.0,1,50/100
32,2025-12-19,Piotr Przewlocki,Jakub Nowak,3,2,Piotr Przewlocki,5,6.0,11.0,14.0,12.0,12.0,14.0,11.0,6.0,11.0,9.0,Piotr Przewlocki,Jakub Nowak,604.0,528.0,76.0,0.5,1.0,0.0,0.0,0.0,-1.0,2.0,0.0,0.0,1,50/100
35,2025-12-19,Jakub Witkowski,Krzysztof Niemiec,3,0,Jakub Witkowski,3,11.0,9.0,11.0,7.0,11.0,3.0,,,,,Jakub Witkowski,Krzysztof Niemiec,910.0,813.0,97.0,1.0,0.0,0.0,0.0,0.0,2.0,-2.0,0.0,0.0,1,50/100
36,2025-12-19,Bartlomiej Wisniewski,Dawid Kotwica,3,1,Bartlomiej Wisniewski,4,11.0,5.0,10.0,12.0,11.0,9.0,11.0,5.0,,,Bartlomiej Wisniewski,Dawid Kotwica,746.0,784.0,-38.0,0.0,1.0,0.0,0.0,0.0,-1.0,2.0,0.0,0.0,1,-50/0
39,2025-12-19,Tomasz Wrzalik,Michal Oracz,2,3,Michal Oracz,5,8.0,11.0,11.0,13.0,11.0,7.0,15.0,13.0,11.0,13.0,Tomasz Wrzalik,Michal Oracz,560.0,591.0,-31.0,0.5,0.5,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0,-50/0
